  2092  0.964468,  0.840731,  0.122598,  3.966535 
  3096  0.872297,  0.489042,  0.023632,  7.444697 
  8023  0.763887,  1.362789,  0.092693, 14.532557 
  8049  0.883194,  1.233907,  0.119561,  6.559590 
  8143  0.804149,  2.021619,  0.182596, 12.638184 
 12003  0.802962,  1.826941,  0.078629,  5.492547 
 12074  0.791453,  1.850156,  0.223821, 11.350036 
 12084  0.496875,  2.058704,  0.347579, 29.779495 
 14037  0.876898,  1.376643,  0.192480, 12.307125 
 15004  0.819560,  2.665619,  0.364684, 10.117436 
 15088  0.870253,  0.741804,  0.065983, 27.371460 
 16052  0.612269,  1.880380,  0.256653, 46.607876 
 16077  0.745520,  2.168906,  0.377342, 11.049583 
 19021  0.764404,  2.054770,  0.276758, 11.198007 
 20008  0.873063,  1.552319,  0.180657,  9.380243 
 21077  0.772974,  1.838099,  0.219148,  8.837524 
 22013  0.797844,  2.302427,  0.167536, 17.926865 
 22090  0.956130,  1.154649,  0.158805,  3.973006 
 22093  0.927623,  1.317311,  0.150056,  7.990446 
 23025  0.905999,  1.375192,  0.220151,  7.975736 
 23080  0.831017,  2.242619,  0.170620,  9.848825 
 23084  0.713953,  2.519111,  0.189465, 10.061345 
 24004  0.807374,  2.128451,  0.224603, 17.435839 
 24063  0.878814,  1.101397,  0.052773,  8.755399 
 24077  0.878179,  2.019489,  0.238207,  9.068217 
 25098  0.923388,  1.615182,  0.144797,  9.119024 
 26031  0.440003,  2.810682,  0.112991, 18.828239 
 27059  0.796276,  1.947944,  0.169320,  9.256862 
 28075  0.760037,  0.905774,  0.079443, 15.762489 
 28096  0.946776,  0.238541,  0.010932, 54.008240 
 33039  0.763744,  1.876404,  0.111447, 12.391721 
 33066  0.846561,  2.030794,  0.302391,  6.974695 
 35008  0.711340,  2.080920,  0.151736, 12.313955 
 35010  0.878356,  2.580932,  0.236789,  7.044331 
 35058  0.786588,  1.943441,  0.155114, 11.025668 
 35070  0.951717,  0.692880,  0.093430,  2.802429 
 35091  0.706603,  1.941772,  0.091028, 20.689997 
 37073  0.717662,  2.421519,  0.140746,  8.936421 
 38082  0.392120,  2.359319,  0.091036, 48.962555 
 38092  0.899795,  1.438216,  0.135875,  7.190982 
 41004  0.926644,  0.692806,  0.078212,  5.959596 
 41025  0.710829,  2.118926,  0.216624, 10.144110 
 41033  0.719326,  1.578485,  0.096690,  9.267940 
 41069  0.807573,  1.365158,  0.157301,  9.528211 
 42012  0.721516,  2.687109,  0.246423, 11.549964 
 42044  0.698794,  1.848456,  0.136243,  7.846979 
 42049  0.971286,  0.642793,  0.079167,  1.757633 
 42078  0.857814,  1.042652,  0.126345,  3.729962 
 43070  0.912228,  0.667880,  0.077602,  8.027765 
 43074  0.891089,  0.948913,  0.136774, 12.072502 
 43083  0.600110,  2.222844,  0.275613, 18.903822 
 45077  0.883551,  1.558432,  0.245969, 14.951021 
 45096  0.858078,  1.123441,  0.147945,  5.730546 
 46076  0.909978,  1.059133,  0.068600,  6.115637 
 48055  0.889636,  1.359584,  0.121849,  8.607147 
 54005  0.501301,  2.435548,  0.271719, 23.337900 
 54082  0.833035,  1.816808,  0.280563, 14.692724 
 55067  0.930082,  0.775186,  0.055404,  4.253637 
 55073  0.671564,  2.637666,  0.299403, 27.347355 
 55075  0.947080,  1.197369,  0.159842,  5.150127 
 56028  0.674192,  2.554681,  0.196396,  9.822623 
 58060  0.750916,  2.382360,  0.273922, 11.270513 
 59078  0.781714,  2.042658,  0.119563,  6.142376 
 60079  0.960582,  0.339613,  0.033033, 17.533033 
 61060  0.839940,  1.217923,  0.065540, 14.368675 
 61086  0.859885,  1.962788,  0.212767, 14.346794 
 62096  0.952622,  0.642693,  0.079793,  9.311440 
 65010  0.857562,  1.684354,  0.208154,  9.881683 
 65019  0.724566,  2.727844,  0.120203,  5.521622 
 65033  0.819410,  2.009165,  0.211759,  7.059301 
 65074  0.942784,  1.701177,  0.229395,  5.241225 
 65132  0.890407,  1.898170,  0.287379,  7.877208 
 66039  0.768601,  1.882467,  0.244310, 12.381081 
 66053  0.844430,  1.784632,  0.269551, 14.926905 
 66075  0.842902,  0.999804,  0.091049,  6.104352 
Mean:   0.404561,  0.830779,  0.084301,  6.184931 
